transport_type,stop,line,delay,theoretical_time,expectedArrivalTime,date,direction,date_year,date_month,date_weekday,date_hour,date_minute,date_seconde,temp,humidity,visibility,wind,rain
0,0089,39,,,,2020-11-08 00:00:14.609774,,2020,11,6,0,0,14,280.2,87,10000,1,0
0,0089,44,,,,2020-11-08 00:00:15.050243,,2020,11,6,0,0,15,280.2,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:00:17.192180,,2020,11,6,0,0,17,280.2,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:00:19.328933,,2020,11,6,0,0,19,280.2,87,10000,1,0
0,0089,39,,,,2020-11-08 00:01:22.236376,,2020,11,6,0,1,22,280.2,87,10000,1,0
0,0089,44,,,,2020-11-08 00:01:22.236795,,2020,11,6,0,1,22,280.2,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:01:24.376569,,2020,11,6,0,1,24,280.2,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:01:26.522300,,2020,11,6,0,1,26,280.2,87,10000,1,0
0,0089,39,,,,2020-11-08 00:02:27.801039,,2020,11,6,0,2,27,280.2,87,10000,1,0
0,0089,44,,,,2020-11-08 00:02:27.801455,,2020,11,6,0,2,27,280.2,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:02:29.929089,,2020,11,6,0,2,29,280.2,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:02:32.054546,,2020,11,6,0,2,32,280.2,87,10000,1,0
0,0089,39,,,,2020-11-08 00:03:37.014850,,2020,11,6,0,3,37,280.2,87,10000,1,0
0,0089,44,,,,2020-11-08 00:03:37.015261,,2020,11,6,0,3,37,280.2,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:03:39.147453,,2020,11,6,0,3,39,280.2,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:03:41.278713,,2020,11,6,0,3,41,280.2,87,10000,1,0
0,0089,39,,,,2020-11-08 00:04:42.329852,,2020,11,6,0,4,42,280.2,87,10000,1,0
0,0089,44,,,,2020-11-08 00:04:42.330310,,2020,11,6,0,4,42,280.2,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:04:44.548810,,2020,11,6,0,4,44,280.2,87,10000,1,0
